"Exporters","AJ_2025","AJ_average","deviation","change_percent"
"Afghanistan",13566000,6432000,7134000,2.10914179104478
"Albania",33938000,33459666.6666667,478333.333333332,1.01429581884657
"Algeria",713603000,1212279666.66667,-498676666.666667,0.588645524313834
"Andorra",1952000,2751000,-799000,0.709560159941839
"Angola",370567000,521975000,-151408000,0.709932468030078
"Anguilla",239000,733666.666666667,-494666.666666667,0.325761017719219
"Antigua and Barbuda",6702000,6624666.66666667,77333.333333333,1.01167354332293
"Argentina",2759964000,2294345000,465619000,1.20294201613097
"Armenia",16232000,39136666.6666667,-22904666.6666667,0.414751724725322
"Aruba",2760000,3428000,-668000,0.805134189031505
"Australia",7870413000,5663120000,2207293000,1.38976624193024
"Austria",5471998000,6206819666.66667,-734821666.666667,0.881610598320911
"Azerbaijan",50620000,75829666.6666667,-25209666.6666667,0.667548760599414
"Bahamas",833644000,562136000,271508000,1.48299343931006
"Bahrain",433323000,574378000,-141055000,0.754421304437148
"Bangladesh",3321930000,3225309666.66667,96620333.3333335,1.02995691679838
"Barbados",16624000,18281333.3333333,-1657333.33333333,0.909342863394355
"Belarus",6017000,21427333.3333333,-15410333.3333333,0.280809557885567
"Belgium",9592765000,8776776333.33333,815988666.666666,1.09297134114807
"Belize",37814000,30292666.6666667,7521333.33333333,1.24828891480886
"Benin",19268000,5518000,13750000,3.49184487133019
"Bermuda",6010000,9645666.66666667,-3635666.66666667,0.623077720565366
"Bhutan",2408000,432000,1976000,5.57407407407407
"Bolivia, Plurinational State of",212201000,187951000,24250000,1.12902299003464
"Bosnia and Herzegovina",60382000,59287666.6666667,1094333.33333334,1.01845802668346
"Botswana",82065000,171465000,-89400000,0.478610795206019
"Brazil",15656289000,13995971333.3333,1660317666.66667,1.11862825574045
"British Indian Ocean Territory",0,159333.333333333,-159333.333333333,0
"British Virgin Islands",9882000,3252333.33333333,6629666.66666667,3.0384339448601
"Brunei Darussalam",23354000,58683000,-35329000,0.397968747337389
"Bulgaria",496021000,560531666.666667,-64510666.6666666,0.884911646383344
"Burkina Faso",253000,1629666.66666667,-1376666.66666667,0.155246471671098
"Burundi",1924000,1370000,554000,1.4043795620438
"Cabo Verde",1760000,2217000,-457000,0.793865584122688
"Cambodia",5016008000,4182707000,833301000,1.19922528639945
"Cameroon",82890000,59272333.3333333,23617666.6666667,1.39846021471513
"Canada",124674612000,149056086666.667,-24381474666.6667,0.836427513884818
"Cayman Islands",16410000,8041000,8369000,2.0407909463997
"Central African Republic",234000,324000,-90000,0.722222222222222
"Chad",7169000,6541000,628000,1.09600978443663
"Chile",8162015000,5900364333.33333,2261650666.66667,1.38330695172326
"China",97198367000,163607860666.667,-66409493666.6667,0.594093502622293
"Christmas Island",5000,1277000,-1272000,0.00391542678151919
"Cocos (Keeling) Islands",6000,269000,-263000,0.0223048327137546
"Colombia",6437246000,6461674666.66667,-24428666.666667,0.99621945270741
"Comoros",260000,1428333.33333333,-1168333.33333333,0.182030338389732
"Congo",49159000,12690333.3333333,36468666.6666667,3.87373591447558
"Congo, Democratic Republic of the",1145484000,106249666.666667,1039234333.33333,10.7810597052853
"Cook Islands",109000,454333.333333333,-345333.333333333,0.23991195891416
"Costa Rica",4975797000,3552883333.33333,1422913666.66667,1.40049546612376
"Croatia",291838000,314565000,-22727000,0.92775102125157
"Cuba",4374000,2846666.66666667,1527333.33333333,1.53653395784543
"Curaçao",57113000,44085000,13028000,1.29552001814676
"Cyprus",20436000,20052000,384000,1.01915020945542
"Czech Republic",3145044000,2763169000,381875000,1.13820182551266
"Côte d'Ivoire",730747000,355733000,375014000,2.05420076293175
"Denmark",4833550000,3779116333.33333,1054433666.66667,1.27901593220778
"Djibouti",28057000,11545000,16512000,2.43022953659593
"Dominica",842000,617333.333333333,224666.666666667,1.36393088552916
"Dominican Republic",2742801000,2631040000,111761000,1.04247787946972
"Ecuador",3403140000,3495781333.33333,-92641333.3333335,0.973499105207191
"Egypt",1138977000,994493333.333333,144483666.666667,1.14528369555016
"El Salvador",876131000,920203000,-44072000,0.952106220040578
"Equatorial Guinea",39844000,54543000,-14699000,0.730506206112608
"Eritrea",1e+05,96666.6666666667,3333.33333333333,1.03448275862069
"Estonia",342713000,377787666.666667,-35074666.6666667,0.907157724400744
"Eswatini",5366000,5950666.66666667,-584666.666666667,0.901747703338561
"Ethiopia",297880000,213944333.333333,83935666.6666667,1.39232479476749
"Falkland Islands (Malvinas)",13658000,15677666.6666667,-2019666.66666667,0.871175557587226
"Faroe Islands",94949000,93112666.6666667,1836333.33333333,1.01972162756231
"Fiji",107562000,122889666.666667,-15327666.6666667,0.875272941310498
"Finland",3083813000,2875968000,207845000,1.07226958019004
"France",22511483000,20475922666.6667,2035560333.33333,1.09941238626805
"French Polynesia",8793000,14756333.3333333,-5963333.33333333,0.595879735254919
"French Southern and Antarctic Territories",0,1356666.66666667,-1356666.66666667,0
"Gabon",194855000,64026333.3333333,130828666.666667,3.04335716033507
"Gambia",269000,267666.666666667,1333.33333333331,1.00498132004981
"Georgia",31336000,86699000,-55363000,0.361434387939884
"Germany",51446742000,53138745000,-1692003000,0.968158770027407
"Ghana",538581000,694469000,-155888000,0.775529217286877
"Gibraltar",553000,383666.666666667,169333.333333333,1.44135534317984
"Greece",794273000,819885666.666667,-25612666.6666666,0.968760684924768
"Greenland",5572000,8369666.66666667,-2797666.66666667,0.665737385001394
"Grenada",6859000,7583000,-724000,0.904523275748385
"Guatemala",2144525000,1991499000,153026000,1.07683960674848
"Guinea",4102000,3300000,802000,1.2430303030303
"Guinea-Bissau",11000,187333.333333333,-176333.333333333,0.0587188612099644
"Guyana",2222105000,1493025666.66667,729079333.333333,1.4883233755526
"Haiti",207732000,326665333.333333,-118933333.333333,0.635916881293393
"Honduras",2152994000,2147076333.33333,5917666.66666675,1.00275615103888
"Hong Kong, China",1083795000,1688292333.33333,-604497333.333333,0.641947474736307
"Hungary",4326742000,3602133666.66667,724608333.333333,1.20116086752657
"Iceland",344549000,257919666.666667,86629333.3333333,1.33587719173541
"India",39117379000,31371337333.3333,7746041666.66667,1.2469146145847
"Indonesia",12897557000,10337578000,2559979000,1.24763817985219
"Iran, Islamic Republic of",345000,594666.666666667,-249666.666666667,0.580156950672646
"Iraq",2400702000,3433026666.66667,-1032324666.66667,0.699296053628091
"Ireland",35362385000,29979110000,5383275000,1.17956753886289
"Israel",6236419000,7399731000,-1163312000,0.842789960878308
"Italy",26926409000,26314543333.3333,611865666.666668,1.02325199639287
"Jamaica",113939000,126602333.333333,-12663333.3333333,0.899975513879418
"Japan",51368810000,50519562000,849248000,1.01681028034249
"Jordan",981119000,1039910333.33333,-58791333.3333334,0.943464997462922
"Kazakhstan",604211000,1042363666.66667,-438152666.666667,0.579654701446168
"Kenya",288755000,319371000,-30616000,0.904136568442344
"Kiribati",459000,319000,140000,1.43887147335423
"Korea, Democratic People's Republic of",139000,19000,120000,7.31578947368421
"Kuwait",245044000,776101666.666667,-531057666.666667,0.31573698463045
"Kyrgyzstan",6203000,3814333.33333333,2388666.66666667,1.62623437909639
"Lao People's Democratic Republic",1191412000,118459666.666667,1072952333.33333,10.0575329437024
"Latvia",245375000,258748000,-13373000,0.948316508726638
"Lebanon",79570000,75711000,3859000,1.05097013643988
"Lesotho",59327000,93311333.3333333,-33984333.3333333,0.635796294840927
"Liberia",18326000,26230666.6666667,-7904666.66666667,0.69864789305139
"Libya, State of",535909000,587475666.666667,-51566666.6666666,0.912223314781265
"Lithuania",665954000,798577333.333333,-132623333.333333,0.833925497509738
"Luxembourg",362342000,264527333.333333,97814666.6666667,1.36977149179291
"Macao, China",37094000,46342333.3333333,-9248333.33333334,0.800434447984924
"Macedonia, North",112066000,77913333.3333333,34152666.6666667,1.43834174724052
"Madagascar",247453000,293517333.333333,-46064333.3333333,0.84306094358993
"Malawi",16217000,15913666.6666667,303333.333333334,1.01906118430699
"Malaysia",20659345000,17233162666.6667,3426182333.33333,1.19881332287082
"Maldives",1480000,3152333.33333333,-1672333.33333333,0.469493496880618
"Mali",981000,2684666.66666667,-1703666.66666667,0.365408492674448
"Malta",137296000,80430333.3333333,56865666.6666667,1.70701766746377
"Marshall Islands",11397000,7448666.66666667,3948333.33333333,1.53007249619619
"Mauritania",177000,2116000,-1939000,0.083648393194707
"Mauritius",83332000,91734333.3333333,-8402333.33333333,0.908405794994967
"Mexico",179809438000,163536307666.667,16273130333.3333,1.09950775192077
"Micronesia, Federated States of",61000,763666.666666667,-702666.666666667,0.0798777826276735
"Moldova, Republic of",36278000,41416000,-5138000,0.875941665056983
"Mongolia",11682000,7951333.33333333,3730666.66666667,1.46918755764232
"Montenegro",2544000,5037000,-2493000,0.505062537224538
"Montserrat",184000,525666.666666667,-341666.666666667,0.35003170577045
"Morocco",641748000,616009666.666667,25738333.3333334,1.04178235298256
"Mozambique",22191000,71330000,-49139000,0.311103322585168
"Myanmar",250393000,279893000,-29500000,0.894602580271747
"Namibia",72496000,113880666.666667,-41384666.6666667,0.636596203042951
