"Exporters","Q1_2025","Q1_average","deviation","change_percent"
"Brazil",11480318000,9576017000,1904301000,1.19886148907213
"Canada",111572892000,105582111333.333,5990780666.66667,1.05674048937848
"China",108475870000,118544088666.667,-10068218666.6667,0.915067728978225
"France",17774379000,13852550666.6667,3921828333.33333,1.28311236159348
"Germany",42708123000,38011126333.3333,4696996666.66666,1.12356899465375
"India",28645808000,21904841333.3333,6740966666.66667,1.30773866672153
"Ireland",59734732000,19928660000,39806072000,2.99742842719982
"Italy",20111211000,17437942666.6667,2673268333.33333,1.1533018191672
"Japan",38305197000,37569510333.3333,735686666.666664,1.01958201371642
"Malaysia",14967656000,12718658666.6667,2248997333.33333,1.17682661295311
"Mexico",132337560000,114969296666.667,17368263333.3333,1.15106870996775
"Netherlands",9926920000,9523297333.33333,403622666.666666,1.04238265933942
"Singapore",11269710000,9183283666.66667,2086426333.33333,1.22719828865862
"South Korea",32785461000,29577295333.3333,3208165666.66667,1.10846717492289
"Switzerland",62484092000,14881639666.6667,47602452333.3333,4.19873706120959
"Taiwan",34733939000,22462840333.3333,12271098666.6667,1.54628437386243
"Thailand",18175652000,14653875666.6667,3521776333.33333,1.2403307093252
"United Kingdom",18860085000,15362598333.3333,3497486666.66667,1.22766244295263
"Vietnam",41295503000,29592874666.6667,11702628333.3333,1.39545425934964
