Exporters	Imported value in 2022-M09	Imported value in 2022-M10	Imported value in 2022-M11	Imported value in 2022-M12	Imported value in 2023-M01	Imported value in 2023-M02	Imported value in 2023-M03	Imported value in 2023-M04	Imported value in 2023-M05	Imported value in 2023-M06	Imported value in 2023-M07	Imported value in 2023-M08	Imported value in 2023-M09	Imported value in 2023-M10	Imported value in 2023-M11	Imported value in 2023-M12	Imported value in 2024-M01	Imported value in 2024-M02	Imported value in 2024-M03	Imported value in 2024-M04	
"World"	286391334	293302484	265365575	261626415	262860495	238083107	270545840	258148146	271719671	265369335	262860354	273263801	268401992	284257890	262774804	254247616	261025350	249588360	266358843	278879653	
"Afghanistan"	4416	736	2006	1889	993	2202	3444	1452	2507	1093	762	2616	1237	1139	1455	2108	2669	1545	3001	1639	
"Albania"	9611	42992	8007	8706	10203	7479	8239	5863	5178	6843	7168	7525	5307	7044	4332	5569	35805	7244	6233	5817	
"Algeria"	161127	199702	471122	162092	222668	229213	138672	320638	365162	263977	307844	320859	373760	255012	173447	179614	250219	178614	205209	181782	
"Andorra"	911	810	239	876	380	344	50053	561	518	329	234	74	278	183	291	326	92	582	503	289	
"Angola"	157223	217044	70334	47024	6385	64370	37636	151676	91797	136159	146746	147173	154670	125216	52347	91016	43615	60614	136975	219246	
"Anguilla"	184	9	47	30	40	46	93	127	70	92	118	101	89	190	108	151	126	123	166	87	
"Antigua and Barbuda"	1049	520	935	622	201	4843	1484	317	580	3130	326	314	622	107	1097	413	2974	1295	278	8914	
"Argentina"	499634	626927	577982	720457	610196	537464	509039	568067	444786	484669	600756	544663	679982	512287	603459	634886	587418	431609	803603	502899	
"Armenia"	5917	5164	7866	6905	4337	19307	9154	10080	17511	8976	8264	17907	7742	10809	9333	15387	12664	18499	8397	3987	
"Aruba"	833	978	2455	3253	3929	2360	733	922	1137	907	1037	2022	301	595	1339	716	648	991	708	489	
"Australia"	1430239	1585671	1430443	1442882	1343456	1114290	1259005	1506653	1697007	1474085	1470520	1310519	1261231	1428390	1432665	1089477	1261799	1168171	1141532	1324867	
"Austria"	1626497	1550822	1728809	1586218	1785889	1593396	1848725	1796582	1841131	1666303	1465787	1582333	1343336	1657542	1420162	1610655	1421032	1458147	1612270	1409577	
"Azerbaijan"	25656	5061	1288	2479	1630	2705	1164	1161	3235	5185	6106	4783	23968	6036	5218	10423	14349	8210	10149	15743	
"Bahamas"	150892	28113	185281	370965	309803	41870	103551	168742	176937	176403	56221	61449	91469	72322	224538	391388	233015	140620	60741	100181	
"Bahrain"	175868	154912	113360	125837	62474	100401	99184	105422	115235	114243	112842	93898	121240	110483	109806	86137	67856	112032	90979	124256	
"Bangladesh"	1103109	1101000	734684	806911	1012163	702299	796566	675583	736445	615998	884595	732960	704256	690804	528372	588661	643611	753183	687570	664503	
"Barbados"	4907	5008	4665	5037	4713	3309	5035	4883	5966	4382	3407	2221	5020	3990	2947	4013	3488	3093	4550	4243	
"Belarus"	3874	4141	6067	5914	4136	7251	8340	5510	4443	4090	3521	2379	2172	2208	3689	2639	1784	2817	1512	1395	
"Belgium"	2208416	3380321	2882334	2019890	2002715	1577334	2098592	1691138	1908063	1922738	2010326	1911769	1705908	2165694	2481186	2029601	1740562	1963432	2352848	2726423	
"Belize"	20209	5157	4293	2800	1787	2379	1989	9598	2476	6840	4406	10262	7398	5130	2810	2772	2489	2726	5856	14167	
"Benin"	75	209	40	610	169	142	629	520	687	647	118	1212	3624	1803	3237	964	2565	4139	3256	4208	
"Bermuda"	1335	1033	1575	1155	2263	794	1305	930	2597	4594	2327	1374	3923	1558	2574	1265	1220	596	639	1683	
"Bhutan"	5	36	0	72	20	1	389	0	16	204	188	18	422	335	3	49	29	0	21	7	
"Bolivia, Plurinational State of"	47629	40460	27488	48511	26661	34566	37708	25958	43218	20983	35227	48043	39171	33693	38188	39926	26231	41869	37182	40631	
"Bosnia and Herzegovina"	14247	16303	16787	12449	12018	11440	13655	12690	11015	11729	16463	13275	8652	14266	16182	18929	17269	15424	13666	15626	
"Botswana"	50680	29950	44061	38646	53911	39695	44380	39907	56088	22565	31233	51234	38795	56706	36915	29810	17382	22954	69935	27511	
"Brazil"	3634785	3889849	3534413	3391647	3277869	2718795	3347552	2787671	3213070	3738767	3475202	3391507	4020123	3273338	3778132	3976243	3924880	3323622	3327560	3372395	
"British Indian Ocean Territory"	31	7	0	0	188	30	20	0	12	0	15	4	1	41	0	25	0	1	117	1	
"British Virgin Islands"	305	340	605	276	208	54	484	4916	514	246	48	1781	4635	958	233	5598	426	903	2125	1172	
"Brunei Darussalam"	8815	5668	1731	8187	30941	26546	5138	28016	10835	25172	9586	11134	57581	11998	24538	5304	1673	65494	11001	26680	
"Bulgaria"	138397	163186	134116	132124	121806	125427	169877	155882	151757	169915	122060	133866	117522	124730	116015	113149	115084	101129	140023	187644	
"Burkina Faso"	525	404	247	494	47	363	55	485	255	315	311	460	479	610	711	148	59	155	247	107	
"Burundi"	751	1551	577	1732	2184	742	272	1052	504	134	119	6	18	181	454	814	312	142	1532	406	
"Cabo Verde"	648	15	1323	334	358	440	494	262	755	1015	470	912	213	415	290	755	931	20	370	377	
"Cambodia"	1311205	1097358	785656	883234	962496	757673	910259	852296	932847	961706	1203638	1460100	1242539	1111038	854157	878720	876646	917397	1005784	899120	
"Cameroon"	11434	10441	12770	8314	63123	6777	8590	6845	6744	6051	6907	9316	5756	6743	5255	6629	56140	32684	7649	48543	
"Canada"	36953681	36402298	34727851	33722512	35375766	33183630	38540869	35224692	37674617	35896264	33852197	37046668	35817054	37448931	36946918	34188244	34246069	34171897	35025636	35740582	
"Cayman Islands"	2683	892	2711	2283	3086	2652	2611	1747	3212	2012	1052	1680	4306	2838	2961	2311	1851	2858	2279	2119	
"Central African Republic"	302	4	107	251	87	5	8	5	392	11	144	590	624	75	65	118	338	288	81	21	
"Chad"	772	352	684	2	10	16	66	0	0	136	445	986	468	380	48223	35753	47136	26	15056	70	
"Chile"	1276391	1221347	946175	1031620	1417478	1553133	2169722	1712270	1408290	1545468	1313118	1208034	1327885	1165432	905566	896868	1591497	1284372	1500027	1344054	
"China"	52465118	47374159	39117471	39303341	40249625	32186180	32237648	34771043	37655207	36069604	37850350	38523784	42157621	43520395	37123160	35691326	37585347	33590778	31534825	33292757	
"Christmas Island"	136	5	3	2	8	790	83	27	1167	2211	6	18	34	46	178	20	131	188	101	56	
"Cocos (Keeling) Islands"	20	239	55	99	408	558	317	69	73	13	76	156	14	75	100	236	172	405	74	31	
"Colombia"	1581315	1576221	1474362	1513781	1317000	1366941	1462691	1344597	1561224	1380321	1360189	1527257	1448333	1396589	1430317	1362517	1622141	1244955	1382915	1756659	
"Comoros"	23	15	493	223	0	0	227	925	87	40	950	69	498	10	533	8	38	33	177	65	
"Congo"	4136	108693	2336	1606	2472	846	1684	2368	1845	1941	2230	2314	128988	77175	26664	55092	2909	2328	2187	2529	
"Congo, Democratic Republic of the"	11606	3382	7504	2909	9955	12059	112886	50552	49842	20071	5623	3052	7455	1956	2631	3768	749	2227	2914	8002	
