Exporters	Imported value in 2023-Q4	Imported value in 2024-Q1	Imported value in 2024-Q2	Imported value in 2024-Q3	Imported value in 2024-Q4	Imported value in 2025-Q1	Imported value in 2025-Q2	Imported value in 2025-Q3	
"World"	2400594	1462509	1732327	3614467	14423489	72286044	1853127	986950	
"Switzerland"	1128557	840087	976893	2018624	8157940	45607671	1285506	870281	
"Australia"	401815	48401	52743	46323	1122045	7878954	349781	63896	
"South Africa"	255160	197108	320732	1137715	1078904	4026623	0	0	
"Canada"	444582	282901	233686	201372	2155553	2535951	103649	15853	
"Kazakhstan"	17357	21244	66739	36741	32015	2180576	0	0	
"Singapore"	3570	3974	3477	6099	4856	1997133	4416	3979	
"Hong Kong, China"	280	180	234	180	1149824	1851952	70	16	
"United Kingdom"	2647	3766	15309	11866	58295	1470030	44419	14384	
"Germany"	10724	9002	10735	18399	108249	838958	38538	8181	
"France"	396	370	42	293	506	718040	2497	133	
"Japan"	4289	9909	3716	4987	22352	709825	5200	4707	
"Uzbekistan"	0	0	0	0	0	424457	0	0	
"Brazil"	18377	3440	294	529	17812	359750	134	39	
"Poland"	43041	28067	33211	72042	44949	283940	107	224	
"Türkiye"	26693	2989	8460	12613	48081	271476	88	385	
"Korea, Republic of"	13449	57	27	36787	109612	257378	13949	171	
"Italy"	21720	190	1026	602	40498	253219	1099	468	
"Mexico"	118	200	76	328	1339	138238	380	527	
"Spain"	5	5	47	11	16884	133173	159	5	
"Taipei, Chinese"	229	922	236	124	58184	118673	848	1652	
"Sweden"	0	15	0	613	9369	117601	0	4	
"Philippines"	0	3	0	0	8	36448	0	0	
"Belgium"	143	9	178	72	227	24294	14	9	
"Austria"	921	3581	7	40	7506	18603	5	0	
"Kyrgyzstan"	0	0	0	0	0	8096	0	0	
"Peru"	25	0	0	0	0	6710	15	0	
"Zimbabwe"	0	0	0	0	0	4247	0	0	
"India"	143	69	436	169	140	3845	160	77	
"Romania"	324	378	411	762	1062	3056	525	683	
"Bulgaria"	795	1257	0	3562	9276	1924	0	0	
"Netherlands"	14	19	242	50	96	1325	69	126	
"Saudi Arabia"	0	0	0	0	0	1138	0	0	
"United Arab Emirates"	149	3	604	0	166154	976	40	124	
"Israel"	172	22	356	27	282	781	100	107	
"Jordan"	53	0	58	105	56	387	884	202	
"China"	406	1285	906	384	367	341	246	372	
"Malaysia"	62	87	25	68	180	70	95	19	
"Indonesia"	36	56	60	23	27	49	52	0	
"Panama"	0	2870	0	1470	0	34	0	0	
"Costa Rica"	5	0	29	0	0	24	0	80	
"Argentina"	0	0	0	0	0	17	0	0	
"Portugal"	127	0	10	3	0	17	31	2	
"New Zealand"	0	7	23	738	0	10	0	0	
"Thailand"	27	4	228	11	636	9	9	34	
"Finland"	0	0	0	0	0	9	0	0	
"Czech Republic"	3	13	983	33	154	7	12	9	
"Greece"	11	7	3	2	0	5	0	6	
"Latvia"	0	0	0	0	0	4	0	0	
"Viet Nam"	0	6	4	0	0	3	0	0	
"Saint Lucia"	0	0	0	0	0	0	0	29	
"Ukraine"	0	0	0	26	0	0	0	0	
"Mauritius"	0	0	0	0	0	0	0	8	
"Lebanon"	3	0	0	0	0	0	0	0	
"Niger"	3	0	0	0	0	0	0	0	
"Norway"	0	0	0	0	0	0	0	8	
"Côte d'Ivoire"	0	0	0	390	0	0	0	0	
"Ghana"	0	0	0	278	0	0	0	0	
"Georgia"	0	0	18	0	0	0	0	0	
"Colombia"	7	0	0	0	47	0	0	0	
"Sri Lanka"	5	0	4	7	0	0	4	0	
"Chile"	4150	0	0	0	0	0	0	0	
"Denmark"	0	0	11	0	0	0	0	0	
"Dominican Republic"	0	0	49	0	0	0	0	0	
"Ecuador"	0	0	0	0	0	0	0	118	
"El Salvador"	0	0	0	0	0	0	27	0	
"Estonia"	0	0	0	0	4	0	0	0	
"Fiji"	3	0	0	0	0	0	0	0	
"Bahrain"	0	5	0	0	0	0	0	0	
"Armenia"	0	0	0	0	0	0	0	34	
